years,years (5k),100k cycle (radians),40k cycle (radians),22k cycle (radians),100k period,40k period,22k period,composite
115000,57,17.90707813,44.76769531,81.39580966,-0.809016994,0.21580194,-0.105977675,-0.699192729
110000,58,18.22123739,45.55309348,82.82380632,-0.587785252,0.299954309,0.366697378,0.078866435
105000,59,18.53539666,46.33849164,84.25180298,-0.309016994,0.208397511,0.210350631,0.109731147
100000,60,18.84955592,47.1238898,85.67979964,0,-0.005235722,-0.306825346,-0.312061068
95000,61,19.16371519,47.90928797,87.1077963,0.309016994,-0.21580194,-0.29768223,-0.204467176
90000,62,19.47787445,48.69468613,88.53579296,0.587785252,-0.299954309,0.22209615,0.509927093
85000,63,19.79203372,49.48008429,89.96378963,0.809016994,-0.208397511,0.360897385,0.961516868
80000,64,20.10619298,50.26548246,91.39178629,0.951056516,0.005235722,-0.119374044,0.836918195
75000,65,20.42035225,51.05088062,92.81978295,1,0.21580194,-0.39487478,0.82092716
70000,66,20.73451151,51.83627878,94.24777961,0.951056516,0.299954309,0.006980963,1.257991787
65000,67,21.04867078,52.62167695,95.67577627,0.809016994,0.208397511,0.39686177,1.414276275
60000,68,21.36283004,53.40707511,97.10377293,0.587785252,-0.005235722,0.105977675,0.688527205
55000,69,21.67698931,54.19247327,98.53176959,0.309016994,-0.21580194,-0.366697378,-0.273482324
50000,70,21.99114858,54.97787144,99.95976625,0,-0.299954309,-0.210350631,-0.510304939
45000,71,22.30530784,55.7632696,101.3877629,-0.309016994,-0.208397511,0.306825346,-0.210589159
40000,72,22.61946711,56.54866776,102.8157596,-0.587785252,0.005235722,0.29768223,-0.284867301
35000,73,22.93362637,57.33406593,104.2437562,-0.809016994,0.21580194,-0.22209615,-0.815311204
30000,74,23.24778564,58.11946409,105.6717529,-0.951056516,0.299954309,-0.360897385,-1.011999593
25000,75,23.5619449,58.90486225,107.0997496,-1,0.208397511,0.119374044,-0.672228445
20000,76,23.87610417,59.69026042,108.5277462,-0.951056516,-0.005235722,0.39487478,-0.561417458
15000,77,24.19026343,60.47565858,109.9557429,-0.809016994,-0.21580194,-0.006980963,-1.031799897
10000,78,24.5044227,61.26105675,111.3837395,-0.587785252,-0.299954309,-0.39686177,-1.28460133
5000,79,24.81858196,62.04645491,112.8117362,-0.309016994,-0.208397511,-0.105977675,-0.62339218
0,80,25.13274123,62.83185307,114.2397329,0,0.005235722,0.366697378,0.3719331
